レバレジーズ株式会社,カスタマーサクセス担当／IT領域,"東京都                                                                                                                                                                    




レバレジーズ株式会社の求人
をすべて見る",公開していません,11日前,レバレジーズ株式会社
株式会社リアステージ,IT企業のカスタマーサクセス,"東京都 新宿区 新宿駅                                                                                                                                                                    




新宿駅の求人
をすべて見る",月給26万円～42万円,28日前,株式会社リアステージ
株式会社テクノウェイブ 労働者派遣事業許可,IT系ヘルプデスク・ユーザーサポート／Excel／カスタマーサクセス部のアシスタント,"東京都 港区 神谷町駅 徒歩2分                                                                                                                                                                    




神谷町駅の求人
をすべて見る","時給1,500円～",公開していません,techno wave
XMile株式会社,カスタマーサクセス／IT支援ツールの顧客満足度向上／残業20時間程度,東京都 新宿区,年収500万円～700万円,3日前,doda
株式会社オープンエイト,ITコンサルタント SaaS事業／業務改善・体制構築コンサル／カスタマーサクセス業務,"東京都 渋谷区 渋谷駅                                                                                                                                                                    




株式会社オープンエイトの求人
をすべて見る","年収700万円～1,000万円",公開していません,レバテックキャリア
ユニファ株式会社,カスタマーサクセス IT技術で保育業界に貢献 年休125日,東京都 千代田区 飯田橋駅 徒歩4分,月給25万600円～,3日前,エン転職
株式会社Works Human Intellig...,導入コンサルタント・カスタマーサクセス／IT業界未経験歓迎,東京都 港区 六本木一丁目駅,"月給32万1,375円～",7日前,doda
ファストドクター株式会社,カスタマーサクセスディレクター ITの力で医療を支援するヘルステック企業,東京都 港区,年収400万円～600万円,14日前,doda
株式会社ネクストビート,東京／カスタマーサクセス ITで社会課題の解決を目指す成長ベンチャー,東京都 渋谷区,年収420万円～840万円,7時間前,エージェントパーク
株式会社フレクト,自社IoTアプリケーションを通じて顧客の課題解決に伴走する「カスタマーサクセス」／IT業界の経験不問,東京都 港区,年収390万円～540万円,公開していません,株式会社フレクト
パーソルテンプスタッフ株式会社,IT会計ソフトの導入支援 カスタマーサクセス,東京都 品川区 五反田駅 徒歩2分,"時給1,750円",20日前,ジョブチェキ！
株式会社セラク,ITコンサルタント／Salesforce コンサルタント Salesforceの定着化,東京都 新宿区 新宿駅,年収330万円～600万円,公開していません,レバテックキャリア
株式会社hacomono,カスタマーサクセス フィットネス×ITで業界をリード／自社開発SaaS,東京都 豊島区,"年収400万円～1,100万円",14日前,doda
Bizネクストジャパン株式会社 総合人事課,コールセンター運営STAFF 導入コンサルタント カスタマーサクセス IT業界,東京都 新宿区,月給26万円～,3日前,Bizネクストジャパン株式会社総合人事課
RSUPPORT株式会社,内勤営業・カウンターセールス カスタマーサクセス／世界的なリモート・テクノロジー企業／未経験歓迎,東京都 港区,月給25万円～35万円,公開していません,RSUPPORT株式会社
